Screen name,text,,,,,,,,,,,,,,Categorize
JohnnoKop18,"RT @Blame_Suarez: You know guys, it genuinely amuses me that Liverpool could win the Premier League or Champions League or even both and ceâ€¦",,,,,,,,,,,,,,Personal
ThrdBenjxx,RT @Blue_McKenna: Biggest causes of addiction in Liverpool: https://t.co/Nk7nsWbmRi,,,,,,,,,,,,,,Personal
liverpool90live,"Paul Tierney will officiate Liverpool's clash against Southampton
https://t.co/OcU8MPvueo",,,,,,,,,,,,,,News
R262769,RT @martynziegler: Crazy money: Premier League clubs paid agents more than a quarter of a billion pounds in 2018/19 - Liverpool once againâ€¦,,,,,,,,,,,,,,News
hub_resource,RT @comingtolivuni: ðŸŽ“ Are you a teacher or careers adviser? ðŸŽ“ We'd LOVE to have you with us on Friday 10th May 2019 at our 'Teachers &amp; Adviâ€¦,,,,,,,,,,,,,,Personal
ladladlaa1,RT @steburke11: Honest to fucking god if you grew up in 80's Liverpool and watched your mam and dad struggle under the managed decline of tâ€¦,,,,,,,,,,,,,,Personal
samiabouzid,RT @LivEchoLFC: Klopp says Manchester City are world's best team - but issues warning for Pep Guardiola  https://t.co/MTjxqTkJMj,,,,,,,,,,,,,,News
CNtiyiso,"RT @SuperSportTV: Friday  ðŸ‘‰  Liverpool lead
Sunday  ðŸ‘‰  Man City lead
Monday  ðŸ‘‰ Liverpool lead
Thursday ðŸ‘‰ Man City lead

The Premier Leagueâ€¦",,,,,,,,,,,,,,News
SaintsFCNews3,Southampton vs Liverpool Betting Tips and Preview Betting Tips - MrFixitsTips https://t.co/HifgJHwGYX,,,,,,,,,,,,,,Personal
Faizaan67,RT @kirkers5: When Liverpool score a last minute winner during your mother in laws 60th bithday celebrations.. GET FUCKING IN.. ðŸ˜‚ https://tâ€¦,,,,,,,,,,,,,,Personal
NiallTEdwards,RT @Mark_J69: Liverpool's empty seats on FA Cup semi final weekend https://t.co/ZqXjc5ZM1x,,,,,,,,,,,,,,Personal
temptha,"Manchester City look worldâ€™s best but Liverpool up for title fight, says Klopp https://t.co/stGuUwBvVU",,,,,,,,,,,,,,News
ianmack2,"RT @RAFANUFC1892: Players being called trivial things like butter fingers and little arms.
Also stamp collecting jibes rather than pullingâ€¦",,,,,,,,,,,,,,News
FandiWicaksono2,RT @FootballVines: When Liverpool and city fighting for the title while the rest of top 6 side fight for last 2 champion league places ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚â€¦,,,,,,,,,,,,,,Personal
stoinuk,"RT @TratosGroup: Tratos Ltdâ€™ CEO, Maurizio has won the IOD North West &amp; Isle of Man Award for Director of the Year for #Innovation.
@IoD_NWâ€¦",,,,,,,,,,,,,,News
rockapepolitics,Kids knife cos theres no yoofies..lol my ma lived in poverty amidst bombed out houses by the docks in liverpool witâ€¦ https://t.co/JLtWF0HwCR,,,,,,,,,,,,,,Personal
infifanews,Liverpool victorious in inaugural FIFA ePremier League season â€“ DailyÂ Esports https://t.co/Kgg28g5Gif https://t.co/iqosvBTUPP,,,,,,,,,,,,,,News
wills67,From a great shoot with dancer Emily... #dance #dancer #dancephotography #dancephotoshoot #liverpool #picofthedayâ€¦ https://t.co/pr2UcEOSqH,,,,,,,,,,,,,,Personal
scouse_Everton,Liverpool wanting Richarlison ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚why would he make a step down?,,,,,,,,,,,,,,Personal
EastAnglianline,22:30 London Liverpool Street to Norwich due 00:33 https://t.co/bAFK6MdAek Updates&amp;formTubeUpdatePeriod=#13277076721P70L28976040419,,,,,,,,,,,,,,News
giftedyabour,"RT @daily_trust: Match preview: Eric Dier, Harry Winks out of Liverpool, TottenhamÂ clash https://t.co/K5AeUwhB3S https://t.co/nJGJVOVdJq",,,,,,,,,,,,,,News
7Sterlxng,"Morata has a G+A ratio of 0.67 in La Liga while he had a G+A ratio of 0.31 during his Chelsea period.

You can cleaâ€¦ https://t.co/wdF4veTA82",,,,,,,,,,,,,,Personal
AnmoldeepMalhi,@Akhilrmcf @lukagodric Yeah atleast been there in the big moments lol. Scored overhead kick vs Liverpool and winnerâ€¦ https://t.co/LpLWGe03DA,,,,,,,,,,,,,,Personal
Texkin,"RT @SFoodbanks: Our message is loud, clear &amp; unequivocal..... We won't sit back &amp; allow the heart and soul of communities be ripped out.

Wâ€¦",,,,,,,,,,,,,,Personal
Christiankell91,RT @Chelseainsight_: Didier Drogba's Champions League winning penalty from the Bayern fan's point of view. #CFC #UCL https://t.co/qW6C2y3Q4f,,,,,,,,,,,,,,News
Trevorlloyd92,"Old Firm Derby, Sunderland vs Portsmouth and then Liverpool vs Spurs all while making sure dinner will be ready forâ€¦ https://t.co/LYJBQRqe3T",,,,,,,,,,,,,,Personal
AFC_Till_I_Die,Arsenal worried about losing him to Chelsea Football Club! https://t.co/tWfvtnD2zm,,,,,,,,,,,,,,Personal
KwabenAmankwah,@Cocacola_GH #MatchDeyCokeDey Liverpool 2-1 Tottenham,,,,,,,,,,,,,,Score
Ojeikx,"RT @masroorhussnain: Aguero now has scored same number of goals for Manchester City (228 in 328 games) as Henry had for Arsenal. 

He has dâ€¦",,,,,,,,,,,,,,Personal
daily_trust,"Match preview: Eric Dier, Harry Winks out of Liverpool, Tottenham clash
https://t.co/K5AeUwhB3S",,,,,,,,,,,,,,News
gary_rushby,@ManUtdIrishReds @ManUtd What about young? And we need a proper right back,,,,,,,,,,,,,,Personal
Mandisu01,Pl match. Chelsea or Liverpool ?,,,,,,,,,,,,,,Personal
dawn_scorpio,RT @ManUtd: ðŸ§® Our flying full-back topped two match stats for #MUFC in an energetic display â€” read more about it! ðŸ‘‡,,,,,,,,,,,,,,News
digitalmaverick,"RT @PeterStefanovi2: It would be difficult, in the wildest of imaginations,to dream up a more incomprehensibly reprehensible,detached fromâ€¦",,,,,,,,,,,,,,News
Mrids_SA,"RT @premierleague: Right foot. Header. Left foot.

@PeterCrouch's perfect hat-trick for @LFC saw off Arsenal #OnThisDay in 2007 https://t.câ€¦",,,,,,,,,,,,,,News
thepres5,EPL: Liverpoolâ€™s squad against Tottenham Hotspur revealed [Full list] Sports https://t.co/f19xUFKkUw,,,,,,,,,,,,,,News
juliusmaithya2,"RT @premierleague: Right foot. Header. Left foot.

@PeterCrouch's perfect hat-trick for @LFC saw off Arsenal #OnThisDay in 2007 https://t.câ€¦",,,,,,,,,,,,,,News
mrian1969,RT @Ross1872_: Liverpool sung it first you fake cunts,,,,,,,,,,,,,,Personal
skeldingalex,Liverpool / spurs today,,,,,,,,,,,,,,Personal
EthanCOYS,RT @Delecopter_: Why are people acting as if Liverpool are so special and weâ€™re gonna get fucked? We put 6 past them last season and this sâ€¦,,,,,,,,,,,,,,Personal
simplyace_100,"RT @Arsenal: Today we're remembering an Arsenal legend

David 'Rocky' Rocastle

#RememberingRocky â¤ï¸ https://t.co/KRC0kY9ZRL",,,,,,,,,,,,,,News
prayogham,"RT @NBFootball: Want to be at Anfield when @LFC take on Spurs this weekend? We've got 2 tickets to give away to the game on Sunday. 

To enâ€¦",,,,,,,,,,,,,,News
Sahinnneliiif,@demarkesports @Liverpoolkolik #Probably Liverpool 3-2 Tottenham,,,,,,,,,,,,,,Personal
Pako_Pikin,"RT @bricii_: Obviously this is a bin ðŸ—‘ tweet , hazard conquered the league at 20 where Neymar is at his peak. https://t.co/0kyVGnY2Cu",,,,,,,,,,,,,,Personal
ismyCAPplaying,"Embarrassing this is a debate. Rio elite level for a decade, won everything. VVD is 29 next year and has had 1 yearâ€¦ https://t.co/1GLQzjCpsl",,,,,,,,,,,,,,Personal
pandala_t,"RT @premierleague: ðŸ”´ @LFC have lost just one of their last 24 home #PL matches against Spurs 

#LIVTOT https://t.co/LUKah8LXPG",,,,,,,,,,,,,,News
tehlikelistoper,@demarkesports @Liverpoolkolik #Probably  3-1 liverpool,,,,,,,,,,,,,,Personal
emre_sismanoglu,@demarkesports @Liverpoolkolik #Probably Liverpool 2 - 0 Tottenham,,,,,,,,,,,,,,Personal
GurkanOzaydin,@demarkesports @Liverpoolkolik #Probably  Liverpool-Tottenham 2-2,,,,,,,,,,,,,,Personal
Mavhure,RT @tnashenemakngah: We are putting our rivalry behind us and for the first time am chanting #YNWA https://t.co/qHwNFhQf2d,,,,,,,,,,,,,,Personal
GusAlvarez7,"RT @StatsBomb: Virgil van Dijk, Liverpool 18-19.

You should be very careful when using stats to evaluate centreb- 

****ING HELL. https://â€¦",,,,,,,,,,,,,,News
garswoodjunior,Liverpool a long way ahead did I hear you say? https://t.co/zbAIqreW0R,,,,,,,,,,,,,,Personal
EvertonNewsFeed,Officials at Everton have laughed off rumours saying Everton could potentially sell Richarlison to Liverpool. Evertâ€¦ https://t.co/x9oAhFFGWp,,,,,,,,,,,,,,News
LivEchoLFC,Klopp says Manchester City are world's best team - but issues warning for Pep Guardiola  https://t.co/MTjxqTkJMj,,,,,,,,,,,,,,News
zippy99za,"RT @AnfieldUrchin: ""What does it feel like to get beat at home.?""

""I don't know son..I'm a Liverpool fan.""",,,,,,,,,,,,,,Personal
m_the0ry,@ehbenj I had Liverpool down as finishing a close second even when you had a decent gap on Man City.,,,,,,,,,,,,,,Personal
Clairepyper,RT @charlotteh71: â€œLiverpool has suffered more drastic government cuts than any other city in the country since 2010. This has brutally choâ€¦,,,,,,,,,,,,,,News
786MBA,RT @SimonBrundish: Virgil Van Dijk is yet to finish a game as captain that wasnâ€™t won by Liverpool FC,,,,,,,,,,,,,,Personal
shahanchowdhury,RT @LivEchoLFC: Klopp explains the real reason why Fabinho didn't start for Liverpool against Spurs â¤µ https://t.co/S9XWnfiW6k,,,,,,,,,,,,,,News
Lopedeloslobos,"RT @LiamThorpECHO: Plenty wonâ€™t agree with me here, but as @jeremycorbyn heads for talks with the Prime Minister I think it has to be said,â€¦",,,,,,,,,,,,,,Personal
wan_rahim96,"RT @zatisyazwina: i am really desperate. please help me find any (female) whoâ€™s pursuing their studies in Liverpool, UK next septemberâ—ï¸â—ï¸hâ€¦",,,,,,,,,,,,,,Personal
mikekdesign,"RT @mkmediadesigns: New Snack Menu designed and rolling out soon for a client ðŸ˜ ðŸ¥ªðŸ¥¤ðŸ‘ðŸ»

#blackpool #lancashire #manchester #liverpool #prestoâ€¦",,,,,,,,,,,,,,News
NajahNY,Ask something!Are you going to party if Liverpool win the league? â€” You have noooooo idea. It isnâ€™t looking likelyâ€¦ https://t.co/im0ZhyBl5A,,,,,,,,,,,,,,Personal
Bhorisi,@Angelslim24 Liverpool game - mabelreign! You know where right!,,,,,,,,,,,,,,Personal
CheshireMags,"RT @tateliverpool: Start your day with early morning yoga, with spectacular views across the river Mersey. Suitable for all levels.

Afterâ€¦",,,,,,,,,,,,,,News
