lang,name,place,retweet_count,screen_name,text,,,,,,,,,,,,,,Categorize
en,Champagne BabaðŸŒ¼,,0,bestkevin_,@CBZHoldings @263Chat @NewsDayZimbabwe @DailyNewsZim Liverpool concedes first,,,,,,,,,,,,,,Personal
en,HUMAN RIGHTS & NEWS & VIEWS!,,0,RightsPluralist,"RT @gavinesler: Esther McVey claims poor families ""prioritise new phones over food"" https://t.co/Gxi55op0vQ",,,,,,,,,,,,,,Personal
en,@RishiVPSAFC,,0,RishiVPS,"Fair analysis, player disposals will need to be aggressive this summer @LeeGunner82 it looks to be a net spend of Â£â€¦ https://t.co/yEntCX4bhK",,,,,,,,,,,,,,Personal
en,Kyle Hellina,,0,kylehellina98,"RT @ManUtd: MANC
BORN
AND
BRED

â™¥ï¸ @MarcusRashford https://t.co/21v0oOwDBL",,,,,,,,,,,,,,News
pt,ð”ð”¦ð”¤ð”²ð”¢ð”© ï£¿,,0,MiguelPereiraze,"RT @SPORTTVPortugal: Premier League | @FulhamFC x @ManCity | 0-1 |

âš½ @BernardoCSilva 5' | Arte em movimento, com a assinatura do artista #â€¦",,,,,,,,,,,,,,News
en,The pres5,,0,thepres5,EPL: Liverpoolâ€™s squad against Tottenham Hotspur revealed [Full list] Sports https://t.co/f19xUFKkUw,,,,,,,,,,,,,,News
en,julius,,0,juliusmaithya2,"RT @premierleague: Right foot. Header. Left foot.

@PeterCrouch's perfect hat-trick for @LFC saw off Arsenal #OnThisDay in 2007 https://t.câ€¦",,,,,,,,,,,,,,News
en,Galley_Wan,,0,galleypounds,@InfinixGhana Liverpool -1 Tottenham -0,,,,,,,,,,,,,,Score
en,REdAWN LIveBIRDS,,0,InatteamRedawn,"@TheKopHQ for ALL REdNET friends (500,000?) linked worldwide
European REd Supporters ""REdS abroad""
@â€¦ https://t.co/FYaZ7eBVEp",,,,,,,,,,,,,,News
und,julius,,0,JuliusTan_,RT @AnthonyMartial: 2-1 ðŸ‘ŠðŸ¼ @ManUtd #MUFC https://t.co/j3QY8yB6F0,,,,,,,,,,,,,,News
en,âšœï¸,,0,ManlikeDee_,@playdetty Haha Arsenal &gt; that ðŸŒš,,,,,,,,,,,,,,Personal
en,Ferlitaarz,,0,Ferlitaarz4,"RT @LFC: ðŸ’« M A G I C   M O ðŸ’«

Every angle of THAT @MoSalah wonder-goal against @SpursOfficial ðŸ˜ https://t.co/kiycMI1bRN",,,,,,,,,,,,,,News
en,Proposition Majjor,,0,MajjorMwangi,"RT @TheSportsman: ðŸ”¥Â Raheem Sterling v Marcus Rashford v Leroy Sane...

Sterling
- Games: 28
- Goals: 15
- Assists: 11

Rashford:
- Games: 2â€¦",,,,,,,,,,,,,,News
en,Tayfun UruÃ§,,0,tayfun_uruc,@demarkesports @Liverpoolkolik #Probably Liverpool 3-2 Tottenham,,,,,,,,,,,,,,News
en,ðŸ™„Chinwendu ðŸ”´,,0,cooldeejaysmith,"RT @CallMeGozie: @cooldeejaysmith @ManUtd Like I said, I love DDG and what he has and is still doing @ManUtd, but a club you play for and gâ€¦",,,,,,,,,,,,,,Personal
en,Don Tutu,,0,alZawarrior,"@iamkoshiek Liverpool 0 - 2 Spurs (Kane 17', 79')",,,,,,,,,,,,,,Score
en,Col,,0,colincheam,RT @Theleaguemag: Jimmy Greaves of Chelsea at Stamford Bridge https://t.co/dPus87wW5l,,,,,,,,,,,,,,News
en,eyefootball.com,,0,eyefootball,Gonzalo Higuain admits #Chelsea #cfc @chelseafc struggles https://t.co/Ms0k90iVkb #Higuain #GonzaloHiguain #Sarriâ€¦ https://t.co/aHpp3PfRrO,,,,,,,,,,,,,,News
en,Joseph_MUFC,,0,1878_Man_United,"RT @ManUtdIrishReds: My 4 or 5 in and outs for @ManUtd in the summer would be

Rice -Â£40m 
Rakitic -Â£40m
Sancho -Â£75m
Icardi - Â£75m
Toby -â€¦",,,,,,,,,,,,,,Personal
en,Jack,,0,Jack_hobson12,"Gonna miss pretty much all of the football today maybe the last 20 minutes of the Liverpool match, dam whoever butâ€¦ https://t.co/WbrGqhiPDM",,,,,,,,,,,,,,Personal
en,HANAGAAAA,,0,Aemikah1,"RT @SkyNews: Watch the moment Kash Ali bites David Price during a heavyweight bout in Liverpool.

Ali was disqualified and could face a banâ€¦",,,,,,,,,,,,,,News
